Timestamp,Word,Sentence
2026-01-04 21:25:43,J,J
2026-01-04 21:26:05,C,J C
2026-01-04 21:26:09,,J C 
2026-01-04 21:26:11,,J C  
2026-01-04 21:26:14,,J C   
2026-01-04 21:26:16,,J C    
2026-01-04 21:26:18,,J C     
2026-01-04 21:26:42,A,J C      A
2026-01-04 21:27:09,H,J C      A H
2026-01-04 21:27:16,J,J C      A H J
2026-01-04 21:27:21,,J C      A H J 
2026-01-04 21:27:44,,J C      A H J  
2026-01-04 21:27:46,,J C      A H J   
2026-01-04 21:27:49,,J C      A H J    
2026-01-04 21:27:53,D,J C      A H J     D
2026-01-04 21:28:55,C,C
2026-01-04 21:29:00,J,C J
2026-01-04 21:29:02,J,C J J
2026-01-04 21:29:05, ,C J J  
2026-01-04 21:29:08, ,C J J    
2026-01-04 21:29:10, ,C J J      
2026-01-04 21:29:54, ,C J J        
2026-01-04 21:29:56, ,C J J          
2026-01-04 21:29:58, ,C J J            
2026-01-04 21:30:00, ,C J J              
2026-01-04 21:30:02, ,C J J                
2026-01-04 21:30:05, ,C J J                  
2026-01-04 21:30:07, ,C J J                    
2026-01-04 21:30:09, ,C J J                      
2026-01-04 21:30:11, ,C J J                        
2026-01-04 21:30:13, ,C J J                          
2026-01-04 21:30:16, ,C J J                            
2026-01-04 21:30:18, ,C J J                              
2026-01-04 21:30:20, ,C J J                                
2026-01-04 21:30:22, ,C J J                                  
2026-01-04 21:30:25, ,C J J                                    
2026-01-04 21:30:27, ,C J J                                      
2026-01-04 21:30:29, ,C J J                                        
2026-01-04 21:30:31, ,C J J                                          
2026-01-04 21:30:33, ,C J J                                            
2026-01-04 21:30:36, ,C J J                                              
2026-01-04 21:33:54,C,C
2026-01-04 21:34:03,,C 
2026-01-04 21:35:03,H,H
2026-01-04 21:35:43,C,C
2026-01-04 21:35:46,C,C C
2026-01-04 21:36:26,C,C
2026-01-04 21:36:35,K,C K
2026-01-04 21:37:37,K,K
2026-01-04 21:38:10,K,K
2026-01-04 21:39:29,K,K
2026-01-04 21:40:26,P,P
2026-01-04 21:41:06,L,L
2026-01-04 21:41:10,K,L K
2026-01-04 21:43:15,K,K
2026-01-04 21:43:17,K,K K
2026-01-04 21:43:30,K,K K K
2026-01-04 21:43:45,K,K
2026-01-04 21:43:47,K,K K
2026-01-04 21:43:49,K,K K K
2026-01-04 21:44:05,L,K K K L
2026-01-04 21:44:12,L,K K K L L
2026-01-04 21:44:14,L,K K K L L L
2026-01-04 21:44:17,L,K K K L L L L
2026-01-04 21:44:19,L,K K K L L L L L
2026-01-04 21:44:22,L,K K K L L L L L L
2026-01-04 21:44:24,L,K K K L L L L L L L
2026-01-04 21:44:26,L,K K K L L L L L L L L
2026-01-04 21:44:30,L,K K K L L L L L L L L L
2026-01-04 21:45:42,C,C
2026-01-04 21:45:46,C,C C
2026-01-04 21:45:48,L,C C L
2026-01-04 21:45:51,L,C C L L
2026-01-04 21:46:06,L,C C L L L
2026-01-04 21:46:08,L,C C L L L L
2026-01-04 21:46:21,C,C C L L L L C
2026-01-04 21:46:26,,C C L L L L C 
2026-01-04 21:46:31,H,C C L L L L C  H
2026-01-04 21:46:34,H,C C L L L L C  H H
2026-01-04 21:46:47,,C C L L L L C  H H 
2026-01-04 21:47:51,C,C
2026-01-04 21:48:05,A,C A
2026-01-04 21:48:08,C,C A C
2026-01-04 21:48:41,D,C A C D
2026-01-04 21:48:46,H,C A C D H
2026-01-04 21:49:24,C,C A C D H C
2026-01-04 21:49:45,F,C A C D H C F
2026-01-04 21:50:04,G,C A C D H C F G
2026-01-04 21:50:19,H,C A C D H C F G H
2026-01-04 21:50:31,I,C A C D H C F G H I
2026-01-04 21:50:57,J,C A C D H C F G H I J
2026-01-04 21:51:15,K,C A C D H C F G H I J K
2026-01-04 21:51:26,L,C A C D H C F G H I J K L
2026-01-04 21:52:05,E,C A C D H C F G H I J K L E
2026-01-04 21:52:23,E,C A C D H C F G H I J K L E E
2026-01-04 21:52:25,E,C A C D H C F G H I J K L E E E
2026-01-04 21:52:27,E,C A C D H C F G H I J K L E E E E
2026-01-04 21:54:22,C,C A C D H C F G H I J K L E E E E C
2026-01-04 21:54:24,C,C A C D H C F G H I J K L E E E E C C
2026-01-04 21:54:26,C,C A C D H C F G H I J K L E E E E C C C
2026-01-04 21:54:34,J,C A C D H C F G H I J K L E E E E C C C J
2026-01-04 21:54:36,J,C A C D H C F G H I J K L E E E E C C C J J
2026-01-04 21:54:42,A,C A C D H C F G H I J K L E E E E C C C J J A
2026-01-04 21:54:51,H,C A C D H C F G H I J K L E E E E C C C J J A H
2026-01-04 21:54:53,H,C A C D H C F G H I J K L E E E E C C C J J A H H
2026-01-04 21:58:02,K,K
2026-01-04 21:58:08,E,K E
2026-01-04 21:58:10,E,K E E
2026-01-04 21:58:47,E,K E E E
2026-01-04 21:58:49,E,K E E E E
2026-01-04 21:59:05,E,K E E E E E
2026-01-04 21:59:11,E,K E E E E E E
2026-01-04 21:59:14,E,K E E E E E E E
2026-01-04 21:59:16,E,K E E E E E E E E
2026-01-04 21:59:18,E,K E E E E E E E E E
2026-01-04 21:59:21,E,K E E E E E E E E E E
2026-01-04 22:00:19,C,C
2026-01-04 22:01:01,C,C C
2026-01-04 22:01:05,C,C C C
2026-01-04 22:01:07,C,C C C C
2026-01-04 22:01:10,O,C C C C O
2026-01-04 22:01:17,,C C C C O 
2026-01-04 22:01:49,P,C C C C O  P
2026-01-04 22:01:53,C,C C C C O  P C
2026-01-04 22:01:58,K,C C C C O  P C K
2026-01-04 22:02:00,K,C C C C O  P C K K
2026-01-04 22:02:04,C,C C C C O  P C K K C
2026-01-04 22:02:26,H,C C C C O  P C K K C H
2026-01-04 22:02:35,H,C C C C O  P C K K C H H
2026-01-04 22:03:28,,C C C C O  P C K K C H H 
2026-01-04 22:05:30,R,C C C C O  P C K K C H H  R
2026-01-04 22:05:33,R,C C C C O  P C K K C H H  R R
2026-01-04 22:05:35,R,C C C C O  P C K K C H H  R R R
2026-01-04 22:05:41,K,C C C C O  P C K K C H H  R R R K
2026-01-04 22:05:44,K,C C C C O  P C K K C H H  R R R K K
2026-01-04 22:05:46,K,C C C C O  P C K K C H H  R R R K K K
2026-01-04 22:05:48,K,C C C C O  P C K K C H H  R R R K K K K
2026-01-04 22:05:50,K,C C C C O  P C K K C H H  R R R K K K K K
2026-01-04 22:05:52,K,C C C C O  P C K K C H H  R R R K K K K K K
2026-01-04 22:07:01,M,C C C C O  P C K K C H H  R R R K K K K K K M
2026-01-04 22:07:03,M,C C C C O  P C K K C H H  R R R K K K K K K M M
2026-01-04 22:08:25,E,C C C C O  P C K K C H H  R R R K K K K K K M M E
2026-01-04 22:08:36,E,C C C C O  P C K K C H H  R R R K K K K K K M M E E
2026-01-04 22:08:38,E,C C C C O  P C K K C H H  R R R K K K K K K M M E E E
2026-01-04 22:08:41,E,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E
2026-01-04 22:08:43,E,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E
2026-01-04 22:08:45,E,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E
2026-01-04 22:10:20,E,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E
2026-01-04 22:11:18,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K
2026-01-04 22:11:36,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K
2026-01-04 22:11:45,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K
2026-01-04 22:11:57,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K
2026-01-04 22:12:00,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K
2026-01-04 22:12:03,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K
2026-01-04 22:12:50,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K
2026-01-04 22:13:30,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K
2026-01-04 22:13:33,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K
2026-01-04 22:13:44,W,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W
2026-01-04 22:13:50,X,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X
2026-01-04 22:14:28, ,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X  
2026-01-04 22:14:30, ,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X    
2026-01-04 22:15:15,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X     
2026-01-04 22:15:17,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X      
2026-01-04 22:15:21,Q,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q
2026-01-04 22:15:45, ,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q  
2026-01-04 22:15:47, ,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q    
2026-01-04 22:15:57,K,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K
2026-01-04 22:16:02,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K 
2026-01-04 22:16:04,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K  
2026-01-04 22:16:06,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K   
2026-01-04 22:16:08,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K    
2026-01-04 22:16:10,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K     
2026-01-04 22:16:12,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K      
2026-01-04 22:16:15,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K       
2026-01-04 22:16:17,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K        
2026-01-04 22:16:19,,C C C C O  P C K K C H H  R R R K K K K K K M M E E E E E E E K K K K K K K K K W X       Q     K         
